,c_ch4,f_ch4,w,phi,z,T,ch4
19,4.083568643362037e+16,0.002,-1.5e-09,0.65,1.9063545150501673,4.0,1.8615658321849085e-09
20,4.170545412016917e+16,0.002,-1.5e-09,0.65,2.0066889632107023,4.0,1.8615658321849085e-09
21,4.250767133193077e+16,0.002,-1.5e-09,0.65,2.1070234113712374,4.0,1.8615658321849085e-09
22,4.324758437399717e+16,0.002,-1.5e-09,0.65,2.2073578595317724,4.0,1.8615658321849085e-09
23,4.393003209737397e+16,0.002,-1.5e-09,0.65,2.307692307692308,4.0,1.8615658321849085e-09
24,4.455947754388117e+16,0.002,-1.5e-09,0.65,2.408026755852843,4.0,1.8615658321849085e-09
25,4.514003713336756e+16,0.002,-1.5e-09,0.65,2.508361204013378,4.0,1.8615658321849085e-09
26,4.567550758408516e+16,0.002,-1.5e-09,0.65,2.608695652173913,4.0,1.8615658321849085e-09
27,4.616939074230596e+16,0.002,-1.5e-09,0.65,2.709030100334448,4.0,1.8615658321849085e-09
28,4.662491648354516e+16,0.002,-1.5e-09,0.65,2.809364548494983,4.0,1.8615658321849085e-09
29,4.704506383515236e+16,0.002,-1.5e-09,0.65,2.9096989966555187,4.0,1.8615658321849085e-09
30,4.743258045843476e+16,0.002,-1.5e-09,0.65,3.0100334448160537,4.0,1.8615658321849085e-09
31,4.779000061768276e+16,0.002,-1.5e-09,0.65,3.1103678929765888,4.0,1.8615658321849085e-09
32,4.811966175364916e+16,0.002,-1.5e-09,0.65,3.210702341137124,4.0,1.8615658321849085e-09
33,4.842371976983556e+16,0.002,-1.5e-09,0.65,3.311036789297659,4.0,1.8615658321849085e-09
34,4.870416313158116e+16,0.002,-1.5e-09,0.65,3.411371237458194,4.0,1.8615658321849085e-09
35,4.896282587013637e+16,0.002,-1.5e-09,0.65,3.511705685618729,4.0,1.8615658321849085e-09
36,4.920139957678676e+16,0.002,-1.5e-09,0.65,3.6120401337792645,4.0,1.8615658321849085e-09
37,4.942144446544116e+16,0.002,-1.5e-09,0.65,3.7123745819397995,4.0,1.8615658321849085e-09
38,4.962439957605556e+16,0.002,-1.5e-09,0.65,3.8127090301003346,4.0,1.8615658321849085e-09
39,4.981159218560036e+16,0.002,-1.5e-09,0.65,3.9130434782608696,4.0,1.8615658321849085e-09
40,4.998424648812996e+16,0.002,-1.5e-09,0.65,4.013377926421405,4.0,1.8615658321849085e-09
41,5.014349160071396e+16,0.002,-1.5e-09,0.65,4.11371237458194,4.0,1.8615658321849085e-09
42,5.029036894758836e+16,0.002,-1.5e-09,0.65,4.214046822742475,4.0,1.8615658321849085e-09
43,5.042583907081156e+16,0.002,-1.5e-09,0.65,4.31438127090301,4.0,1.8615658321849085e-09
44,5.055078791198196e+16,0.002,-1.5e-09,0.65,4.414715719063545,4.0,1.8615658321849085e-09
45,5.066603260607556e+16,0.002,-1.5e-09,0.65,4.51505016722408,4.0,1.8615658321849085e-09
46,5.077232682531076e+16,0.002,-1.5e-09,0.65,4.615384615384616,4.0,1.8615658321849085e-09
47,5.087036570798356e+16,0.002,-1.5e-09,0.65,4.7157190635451505,4.0,1.8615658321849085e-09
48,5.096079040449716e+16,0.002,-1.5e-09,0.65,4.816053511705686,4.0,1.8615658321849085e-09
49,5.104419227033476e+16,0.002,-1.5e-09,0.65,4.916387959866221,4.0,1.8615658321849085e-09
50,5.112111673337716e+16,0.002,-1.5e-09,0.65,5.016722408026756,4.0,1.8615658321849085e-09
51,5.119206686087076e+16,0.002,-1.5e-09,0.65,5.117056856187291,4.0,1.8615658321849085e-09
52,5.125750664936116e+16,0.002,-1.5e-09,0.65,5.217391304347826,4.0,1.8615658321849085e-09
53,5.131786405912116e+16,0.002,-1.5e-09,0.65,5.317725752508362,4.0,1.8615658321849085e-09
54,5.137353381290356e+16,0.002,-1.5e-09,0.65,5.418060200668896,4.0,1.8615658321849085e-09
55,5.142487997733476e+16,0.002,-1.5e-09,0.65,5.518394648829432,4.0,1.8615658321849085e-09
56,5.147223834381956e+16,0.002,-1.5e-09,0.65,5.618729096989966,4.0,1.8615658321849085e-09
57,5.151591862453556e+16,0.002,-1.5e-09,0.65,5.719063545150502,4.0,1.8615658321849085e-09
58,5.155620647787636e+16,0.002,-1.5e-09,0.65,5.819397993311037,4.0,1.8615658321849085e-09
59,5.159336537658756e+16,0.002,-1.5e-09,0.65,5.919732441471572,4.0,1.8615658321849085e-09
60,5.162763833081236e+16,0.002,-1.5e-09,0.65,6.0200668896321075,4.0,1.8615658321849085e-09
61,5.165924947732196e+16,0.002,-1.5e-09,0.65,6.120401337792642,4.0,1.8615658321849085e-09
62,5.168840554531156e+16,0.002,-1.5e-09,0.65,6.2207357859531776,4.0,1.8615658321849085e-09
63,5.171529720836356e+16,0.002,-1.5e-09,0.65,6.321070234113712,4.0,1.8615658321849085e-09
64,5.174010033140196e+16,0.002,-1.5e-09,0.65,6.421404682274248,4.0,1.8615658321849085e-09
65,5.176297712080916e+16,0.002,-1.5e-09,0.65,6.521739130434783,4.0,1.8615658321849085e-09
66,5.178407718521396e+16,0.002,-1.5e-09,0.65,6.622073578595318,4.0,1.8615658321849085e-09
67,5.180353851389716e+16,0.002,-1.5e-09,0.65,6.722408026755853,4.0,1.8615658321849085e-09
68,5.182148837920676e+16,0.002,-1.5e-09,0.65,6.822742474916388,4.0,1.8615658321849085e-09
69,5.183804416888996e+16,0.002,-1.5e-09,0.65,6.923076923076923,4.0,1.8615658321849085e-09
70,5.185331415377716e+16,0.002,-1.5e-09,0.65,7.023411371237458,4.0,1.8615658321849085e-09
71,5.186739819585076e+16,0.002,-1.5e-09,0.65,7.1237458193979935,4.0,1.8615658321849085e-09
72,5.188038840131396e+16,0.002,-1.5e-09,0.65,7.224080267558529,4.0,1.8615658321849085e-09
73,5.189236972294596e+16,0.002,-1.5e-09,0.65,7.3244147157190636,4.0,1.8615658321849085e-09
74,5.190342051567236e+16,0.002,-1.5e-09,0.65,7.424749163879599,4.0,1.8615658321849085e-09
75,5.191361304898516e+16,0.002,-1.5e-09,0.65,7.525083612040134,4.0,1.8615658321849085e-09
76,5.192301397956996e+16,0.002,-1.5e-09,0.65,7.625418060200669,4.0,1.8615658321849085e-09
77,5.193168478722356e+16,0.002,-1.5e-09,0.65,7.725752508361205,4.0,1.8615658321849085e-09
78,5.193968217691476e+16,0.002,-1.5e-09,0.65,7.826086956521739,4.0,1.8615658321849085e-09
79,5.194705844962516e+16,0.002,-1.5e-09,0.65,7.926421404682275,4.0,1.8615658321849085e-09
80,5.195386184438116e+16,0.002,-1.5e-09,0.65,8.02675585284281,4.0,1.8615658321849085e-09
81,5.196013685372836e+16,0.002,-1.5e-09,0.65,8.127090301003344,4.0,1.8615658321849085e-09
82,5.196592451469956e+16,0.002,-1.5e-09,0.65,8.22742474916388,4.0,1.8615658321849085e-09
83,5.197126267718756e+16,0.002,-1.5e-09,0.65,8.327759197324415,4.0,1.8615658321849085e-09
84,5.197618625147556e+16,0.002,-1.5e-09,0.65,8.42809364548495,4.0,1.8615658321849085e-09
85,5.198072743654116e+16,0.002,-1.5e-09,0.65,8.528428093645486,4.0,1.8615658321849085e-09
86,5.198491593062836e+16,0.002,-1.5e-09,0.65,8.62876254180602,4.0,1.8615658321849085e-09
87,5.198877912546836e+16,0.002,-1.5e-09,0.65,8.729096989966555,4.0,1.8615658321849085e-09
88,5.199234228541636e+16,0.002,-1.5e-09,0.65,8.82943143812709,4.0,1.8615658321849085e-09
89,5.199562871266916e+16,0.002,-1.5e-09,0.65,8.929765886287626,4.0,1.8615658321849085e-09
90,5.199865989966276e+16,0.002,-1.5e-09,0.65,9.03010033444816,4.0,1.8615658321849085e-09
91,5.200145566962196e+16,0.002,-1.5e-09,0.65,9.130434782608695,4.0,1.8615658321849085e-09
92,5.200403430620116e+16,0.002,-1.5e-09,0.65,9.230769230769232,4.0,1.8615658321849085e-09
93,5.200641267305716e+16,0.002,-1.5e-09,0.65,9.331103678929766,4.0,1.8615658321849085e-09
